                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.4943,                 1.1573,                0.94837,                0.35178,                0.27312,                0.25666,                 0.1425,                 1.4795,                 1.1499,                0.93492,             0.00057191,             0.00057191,             0.00057191
                     13,                 1.4988,                 1.1547,                0.94473,                0.36412,                0.28471,                0.26593,                0.15018,                 1.4592,                 1.1181,                0.93717,             0.00055771,             0.00055771,             0.00055771
                     14,                  1.494,                 1.1429,                0.94329,                0.34649,                 0.2723,                0.25918,                0.14472,                 1.4766,                 1.1372,                 0.9355,              0.0005435,              0.0005435,              0.0005435
                     15,                 1.4849,                 1.1318,                0.94271,                0.38887,                0.28036,                 0.2752,                0.15684,                 1.4572,                 1.1018,                0.92961,             0.00052929,             0.00052929,             0.00052929
                     16,                 1.4737,                 1.1228,                0.94033,                0.38298,                 0.2902,                0.27758,                0.15926,                 1.4291,                  1.088,                0.92739,             0.00051508,             0.00051508,             0.00051508
                     17,                 1.4737,                 1.1152,                0.93968,                0.38226,                0.29296,                0.28068,                0.15883,                 1.4389,                 1.0872,                0.92777,             0.00050087,             0.00050087,             0.00050087
                     18,                  1.472,                 1.1095,                0.93684,                0.38462,                 0.2921,                0.28327,                0.16099,                 1.4363,                 1.0917,                0.92939,             0.00048666,             0.00048666,             0.00048666
                     19,                 1.4606,                  1.094,                0.93514,                0.40326,                 0.2932,                0.28795,                0.16324,                 1.4355,                 1.0741,                0.92805,             0.00047245,             0.00047245,             0.00047245
                     20,                 1.4512,                 1.0824,                0.93491,                 0.3893,                0.30116,                0.28789,                0.16342,                 1.4197,                 1.0612,                0.92461,             0.00045825,             0.00045825,             0.00045825
                     21,                 1.4512,                  1.082,                0.93328,                0.39504,                0.29532,                0.28756,                0.16446,                 1.4143,                 1.0687,                0.92371,             0.00044404,             0.00044404,             0.00044404
                     22,                 1.4483,                 1.0801,                0.93293,                0.39259,                0.29848,                0.28772,                 0.1626,                 1.4178,                 1.0632,                0.92654,             0.00042983,             0.00042983,             0.00042983
                     23,                 1.4369,                 1.0689,                0.92954,                 0.3956,                0.30081,                0.29073,                0.16572,                 1.4092,                 1.0539,                0.92336,             0.00041562,             0.00041562,             0.00041562
                     24,                 1.4365,                 1.0643,                0.92944,                0.40313,                0.29785,                0.29394,                0.16883,                 1.4061,                 1.0529,                0.92416,             0.00040141,             0.00040141,             0.00040141
                     25,                 1.4298,                 1.0551,                 0.9282,                0.40619,                0.30432,                0.29497,                0.16806,                 1.4021,                  1.052,                0.92045,              0.0003872,              0.0003872,              0.0003872
                     26,                 1.4326,                 1.0542,                0.92895,                0.39333,                0.30277,                0.29198,                0.16721,                 1.4065,                 1.0511,                0.92038,             0.00037299,             0.00037299,             0.00037299
                     27,                 1.4216,                 1.0479,                  0.927,                0.39782,                 0.3094,                0.30018,                0.17139,                 1.4025,                 1.0447,                0.92053,             0.00035878,             0.00035878,             0.00035878
                     28,                 1.4197,                 1.0415,                0.92581,                0.40445,                0.30392,                0.29501,                0.16848,                 1.4011,                 1.0463,                0.92184,             0.00034458,             0.00034458,             0.00034458
                     29,                 1.4162,                  1.038,                0.92627,                0.40871,                0.30488,                0.29849,                0.17109,                  1.391,                   1.04,                0.91759,             0.00033037,             0.00033037,             0.00033037
                     30,                 1.4137,                 1.0314,                0.92344,                0.41526,                0.30568,                0.30056,                0.17194,                  1.395,                 1.0301,                0.91978,             0.00031616,             0.00031616,             0.00031616
                     31,                 1.4133,                 1.0309,                0.92336,                0.41407,                0.30275,                0.30084,                0.17251,                 1.3975,                  1.033,                0.91818,             0.00030195,             0.00030195,             0.00030195
                     32,                 1.4085,                 1.0209,                 0.9211,                0.42086,                0.30313,                0.30541,                0.17442,                  1.398,                 1.0251,                0.92088,             0.00028774,             0.00028774,             0.00028774
                     33,                 1.4055,                 1.0193,                0.92305,                0.41878,                0.31046,                 0.3091,                0.17725,                  1.387,                 1.0207,                 0.9185,             0.00027353,             0.00027353,             0.00027353
                     34,                 1.4018,                 1.0111,                0.92044,                0.42204,                0.30756,                0.30993,                0.17799,                 1.3816,                 1.0196,                0.91789,             0.00025932,             0.00025932,             0.00025932
                     35,                 1.3943,                 1.0079,                0.91933,                0.42507,                 0.3071,                0.30702,                0.17551,                 1.3868,                 1.0215,                0.91715,             0.00024512,             0.00024512,             0.00024512
                     36,                 1.3991,                  1.006,                0.91954,                0.40949,                0.31382,                0.31029,                0.17817,                 1.3863,                 1.0139,                0.91658,             0.00023091,             0.00023091,             0.00023091
                     37,                  1.393,                 1.0009,                0.91779,                0.42481,                0.31096,                0.31284,                0.17958,                 1.3794,                 1.0112,                0.91486,              0.0002167,              0.0002167,              0.0002167
                     38,                  1.385,                0.99501,                0.91675,                0.41281,                0.31703,                0.31281,                0.17787,                  1.378,                 1.0104,                0.91579,             0.00020249,             0.00020249,             0.00020249
                     39,                 1.3822,                0.99098,                0.91793,                0.43035,                0.31145,                0.31424,                0.17984,                 1.3775,                 1.0079,                0.91468,             0.00018828,             0.00018828,             0.00018828
                     40,                 1.3778,                0.98791,                0.91534,                0.42663,                0.31557,                0.31497,                0.18055,                 1.3724,                 1.0071,                0.91339,             0.00017407,             0.00017407,             0.00017407
                     41,                 1.3586,                0.96993,                0.91786,                0.42475,                0.31358,                0.31214,                0.17836,                 1.3793,                 1.0107,                0.91445,             0.00015986,             0.00015986,             0.00015986
                     42,                 1.3462,                0.95328,                0.91473,                0.41744,                0.31481,                0.31199,                0.17893,                 1.3778,                 1.0128,                0.91582,             0.00014566,             0.00014566,             0.00014566
                     43,                 1.3444,                0.94795,                0.91285,                 0.4212,                 0.3187,                0.31657,                0.18174,                 1.3806,                 1.0046,                0.91488,             0.00013145,             0.00013145,             0.00013145
                     44,                 1.3389,                0.94134,                0.91307,                 0.4277,                0.31505,                0.31565,                0.18103,                 1.3774,                 1.0049,                 0.9147,             0.00011724,             0.00011724,             0.00011724
                     45,                 1.3371,                0.93636,                0.91168,                0.42356,                0.31929,                0.31648,                0.18131,                 1.3736,                 1.0059,                0.91399,             0.00010303,             0.00010303,             0.00010303
                     46,                 1.3292,                0.92846,                0.91091,                0.42792,                0.31858,                0.31838,                0.18197,                 1.3725,                0.99953,                0.91441,             8.8822e-05,             8.8822e-05,             8.8822e-05
                     47,                 1.3242,                0.92544,                0.90853,                0.42099,                0.32159,                0.31821,                0.18254,                 1.3716,                0.99942,                0.91309,             7.4613e-05,             7.4613e-05,             7.4613e-05
                     48,                 1.3257,                0.92387,                0.90878,                0.43504,                0.31577,                 0.3183,                0.18327,                 1.3691,                0.99479,                0.91315,             6.0404e-05,             6.0404e-05,             6.0404e-05
                     49,                 1.3238,                0.92046,                0.90913,                0.42515,                0.32218,                0.31715,                0.18251,                 1.3695,                0.99588,                0.91318,             4.6196e-05,             4.6196e-05,             4.6196e-05
                     50,                 1.3182,                0.91686,                0.90721,                  0.435,                0.32009,                0.31985,                0.18398,                 1.3702,                0.99502,                0.91374,             3.1987e-05,             3.1987e-05,             3.1987e-05
