                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8469,                  2.391,                 1.0388,                0.31317,                0.16521,                0.13154,                0.07022,                 1.6826,                  1.525,                0.98917,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6791,                 1.5229,                0.99057,                0.23895,                0.22275,                0.16905,                0.09372,                 1.6256,                 1.4222,                0.96798,             0.00046595,             0.00046595,             0.00046595
                      3,                 1.6521,                 1.4211,                0.98347,                 0.3008,                0.23401,                0.20382,                0.11262,                 1.5945,                 1.2972,                0.96659,             0.00068502,             0.00068502,             0.00068502
                      4,                 1.6204,                  1.363,                0.97733,                0.29937,                0.24256,                0.21649,                0.11995,                 1.5537,                 1.2493,                0.95557,             0.00067137,             0.00067137,             0.00067137
                      5,                  1.591,                 1.3032,                0.97001,                0.30937,                0.24223,                0.22325,                0.12427,                 1.5378,                 1.2347,                0.94894,             0.00067137,             0.00067137,             0.00067137
                      6,                 1.5814,                 1.2776,                0.96442,                0.29937,                0.25389,                 0.2242,                0.12627,                 1.5486,                 1.2132,                0.94806,             0.00065717,             0.00065717,             0.00065717
                      7,                  1.556,                 1.2429,                0.95993,                0.31882,                0.27078,                 0.2351,                0.12786,                 1.5103,                 1.2375,                0.94774,             0.00064296,             0.00064296,             0.00064296
                      8,                 1.5473,                 1.2246,                0.95722,                0.33567,                0.26097,                0.24168,                0.13609,                 1.4946,                 1.1796,                0.94042,             0.00062875,             0.00062875,             0.00062875
                      9,                 1.5309,                 1.2029,                0.95287,                0.34338,                0.27602,                0.25068,                  0.139,                  1.478,                 1.1579,                0.93915,             0.00061454,             0.00061454,             0.00061454
                     10,                 1.5202,                  1.183,                0.95067,                0.31927,                0.27573,                0.24103,                0.13435,                 1.4875,                 1.2002,                0.94437,             0.00060033,             0.00060033,             0.00060033
                     11,                 1.5178,                 1.1798,                0.95128,                0.36077,                0.27806,                0.26491,                0.14806,                 1.4805,                  1.137,                0.94498,             0.00058612,             0.00058612,             0.00058612
