                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9077,                 2.4352,                 1.0587,                0.26739,                 0.1753,                0.12882,                0.06981,                 1.6784,                 1.5369,                0.98808,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.7278,                 1.6289,                 1.0054,                0.23494,                0.22445,                0.16529,                0.09187,                 1.6082,                 1.4134,                0.97547,             0.00045188,             0.00045188,             0.00045188
                      3,                 1.6722,                 1.5013,                0.99278,                0.26078,                0.22934,                0.19337,                 0.1054,                 1.5645,                 1.3182,                0.96812,             0.00064278,             0.00064278,             0.00064278
                      4,                 1.6421,                  1.438,                0.98182,                0.29093,                0.23319,                0.20442,                0.11624,                 1.5552,                 1.2814,                0.96155,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.6317,                 1.3771,                 0.9862,                0.29222,                0.22453,                0.20253,                0.11032,                 1.5997,                 1.2835,                0.96554,             0.00060797,             0.00060797,             0.00060797
                      6,                  1.593,                 1.3222,                0.97351,                0.31094,                0.24571,                0.22218,                0.12664,                 1.5105,                 1.2148,                0.94916,             0.00057263,             0.00057263,             0.00057263
                      7,                  1.566,                 1.2828,                0.96505,                0.32791,                0.25137,                0.22508,                0.12735,                 1.5247,                 1.2272,                0.95707,             0.00053728,             0.00053728,             0.00053728
                      8,                 1.5879,                 1.2687,                0.95923,                0.31826,                0.26231,                0.23964,                 0.1356,                 1.4874,                 1.1819,                0.94856,             0.00050194,             0.00050194,             0.00050194
                      9,                 1.5482,                 1.2461,                0.95979,                 0.3315,                0.26703,                0.24264,                0.13786,                 1.4867,                 1.1574,                0.94504,              0.0004666,              0.0004666,              0.0004666
                     10,                 1.5392,                 1.2258,                0.95822,                0.32965,                0.27304,                0.25239,                0.14389,                 1.4598,                 1.1469,                0.93902,             0.00043126,             0.00043126,             0.00043126
                     11,                 1.5288,                 1.2122,                0.95448,                0.34034,                0.26788,                0.25077,                0.14276,                 1.4653,                 1.1503,                0.94108,             0.00039591,             0.00039591,             0.00039591
                     12,                 1.5173,                 1.1881,                 0.9533,                0.34684,                0.26756,                 0.2534,                0.14391,                  1.469,                 1.1414,                0.93789,             0.00036057,             0.00036057,             0.00036057
                     13,                 1.4909,                 1.1569,                0.94959,                0.34884,                0.28044,                 0.2626,                0.14866,                 1.4505,                  1.122,                0.93536,             0.00032523,             0.00032523,             0.00032523
                     14,                 1.4718,                  1.145,                0.94417,                0.35523,                0.27506,                0.25945,                0.14886,                  1.448,                  1.121,                0.93356,             0.00028988,             0.00028988,             0.00028988
                     15,                 1.4857,                  1.155,                0.94405,                0.34858,                0.28256,                0.26241,                0.14973,                 1.4483,                 1.1226,                0.93473,             0.00025454,             0.00025454,             0.00025454
                     16,                 1.4654,                 1.1223,                0.94024,                0.36477,                0.28594,                0.26865,                0.15455,                 1.4392,                 1.1026,                0.93191,              0.0002192,              0.0002192,              0.0002192
                     17,                 1.4602,                 1.1234,                0.93767,                0.36248,                0.28137,                0.27059,                0.15455,                  1.431,                 1.0918,                 0.9298,             0.00018385,             0.00018385,             0.00018385
                     18,                 1.4491,                 1.1027,                0.93757,                 0.3657,                0.28167,                 0.2709,                0.15516,                  1.429,                 1.0961,                0.92935,             0.00014851,             0.00014851,             0.00014851
                     19,                 1.4446,                 1.0861,                0.93293,                0.36891,                 0.2872,                0.27385,                0.15667,                 1.4264,                 1.0843,                0.92928,             0.00011317,             0.00011317,             0.00011317
                     20,                  1.441,                 1.0802,                 0.9331,                0.36316,                0.28605,                0.27521,                0.15856,                 1.4207,                 1.0758,                0.92697,             7.7826e-05,             7.7826e-05,             7.7826e-05
