                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7233,                  1.917,                0.89989,                0.29742,                0.16765,                0.13214,                0.07025,                 1.5711,                  1.212,                0.85702,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.5678,                 1.2232,                0.85839,                0.23032,                0.21186,                0.16411,                0.09034,                 1.5201,                 1.1241,                0.83743,             0.00046595,             0.00046595,             0.00046595
                      3,                 1.5398,                 1.1418,                0.85165,                0.28875,                0.23216,                 0.1995,                0.10967,                 1.5055,                 1.0702,                0.84482,             0.00068502,             0.00068502,             0.00068502
                      4,                 1.5105,                  1.096,                0.84658,                0.30475,                0.24704,                0.22453,                0.12436,                   1.45,                0.99401,                0.82736,             0.00067137,             0.00067137,             0.00067137
                      5,                 1.4844,                 1.0503,                0.84024,                0.29648,                0.24284,                0.22293,                0.12357,                 1.4303,                0.99604,                0.82263,             0.00067137,             0.00067137,             0.00067137
                      6,                 1.4752,                 1.0267,                0.83544,                0.31122,                0.24711,                0.22184,                0.12469,                 1.4595,                0.96987,                0.82204,             0.00065717,             0.00065717,             0.00065717
                      7,                  1.453,                0.99978,                0.83237,                0.33687,                0.26644,                 0.2357,                0.12966,                 1.4172,                0.99519,                0.82329,             0.00064296,             0.00064296,             0.00064296
                      8,                 1.4431,                 0.9846,                0.82942,                0.32609,                0.26629,                0.23982,                0.13422,                 1.3927,                0.96146,                 0.8164,             0.00062875,             0.00062875,             0.00062875
                      9,                  1.429,                0.96923,                0.82609,                0.34912,                0.27934,                 0.2526,                0.13899,                 1.3855,                0.93323,                0.81622,             0.00061454,             0.00061454,             0.00061454
                     10,                  1.418,                0.95165,                0.82403,                0.31372,                0.27656,                0.23856,                 0.1318,                 1.3821,                0.94748,                0.81922,             0.00060033,             0.00060033,             0.00060033
                     11,                 1.4145,                0.95085,                0.82446,                0.36472,                0.27488,                0.26427,                0.14879,                 1.3699,                0.90641,                0.81386,             0.00058612,             0.00058612,             0.00058612
                     12,                 1.3927,                0.92987,                0.82145,                0.36101,                0.27709,                0.25449,                0.14189,                 1.3786,                0.92455,                0.81281,             0.00057191,             0.00057191,             0.00057191
                     13,                 1.3968,                0.92857,                0.81903,                 0.3603,                0.28239,                0.26536,                0.15149,                  1.353,                 0.9013,                0.80839,             0.00055771,             0.00055771,             0.00055771
                     14,                  1.393,                0.91991,                0.81754,                0.35863,                0.28001,                0.26572,                0.14947,                 1.3649,                0.90643,                0.80991,              0.0005435,              0.0005435,              0.0005435
                     15,                 1.3829,                0.90905,                 0.8165,                0.37788,                0.28677,                0.27549,                0.15573,                 1.3437,                0.88356,                0.80305,             0.00052929,             0.00052929,             0.00052929
                     16,                 1.3757,                0.90315,                0.81535,                0.37422,                0.29211,                0.27356,                0.15856,                  1.331,                0.87638,                0.80404,             0.00051508,             0.00051508,             0.00051508
                     17,                 1.3735,                0.89801,                0.81434,                0.36112,                0.29201,                0.27859,                0.15738,                  1.341,                 0.8809,                0.80568,             0.00050087,             0.00050087,             0.00050087
                     18,                 1.3721,                0.89178,                 0.8121,                0.36879,                0.29116,                0.27952,                0.15869,                 1.3404,                0.87829,                0.80422,             0.00048666,             0.00048666,             0.00048666
                     19,                 1.3614,                0.88042,                0.81029,                0.37658,                0.29969,                0.28658,                0.16256,                 1.3371,                0.86619,                0.80552,             0.00047245,             0.00047245,             0.00047245
                     20,                 1.3521,                0.87128,                0.81033,                0.38792,                0.30607,                0.28949,                 0.1635,                  1.327,                0.85461,                0.80342,             0.00045825,             0.00045825,             0.00045825
                     21,                 1.3537,                0.86999,                0.80903,                0.38895,                0.29787,                0.28681,                 0.1643,                 1.3151,                0.85732,                0.79991,             0.00044404,             0.00044404,             0.00044404
                     22,                 1.3499,                0.86747,                0.80788,                0.39408,                0.29401,                 0.2842,                0.16077,                 1.3268,                0.85987,                0.80258,             0.00042983,             0.00042983,             0.00042983
                     23,                 1.3397,                0.86001,                0.80575,                0.40011,                0.29122,                0.28524,                 0.1626,                 1.3219,                0.84767,                0.80022,             0.00041562,             0.00041562,             0.00041562
                     24,                 1.3381,                0.85534,                0.80521,                0.38493,                0.29988,                0.28847,                0.16648,                 1.3126,                0.84591,                0.80038,             0.00040141,             0.00040141,             0.00040141
                     25,                 1.3335,                0.84917,                0.80472,                0.39623,                0.29962,                0.28848,                0.16519,                 1.3108,                0.84624,                0.79765,              0.0003872,              0.0003872,              0.0003872
                     26,                 1.3355,                0.84757,                0.80468,                0.39247,                0.30095,                0.29214,                0.16595,                  1.311,                0.84574,                0.79984,             0.00037299,             0.00037299,             0.00037299
                     27,                 1.3247,                0.84218,                0.80357,                0.40876,                0.30587,                0.30051,                0.17259,                  1.303,                 0.8354,                0.79691,             0.00035878,             0.00035878,             0.00035878
                     28,                 1.3243,                0.83721,                0.80218,                0.40378,                0.30398,                0.29318,                0.16826,                 1.3032,                0.83945,                0.79794,             0.00034458,             0.00034458,             0.00034458
                     29,                 1.3203,                0.83497,                 0.8027,                0.39862,                0.30521,                0.29499,                0.16903,                 1.3044,                0.83601,                0.79784,             0.00033037,             0.00033037,             0.00033037
                     30,                 1.3175,                0.82919,                 0.8002,                  0.407,                0.31077,                0.30224,                0.17321,                 1.2945,                0.82901,                0.79501,             0.00031616,             0.00031616,             0.00031616
                     31,                 1.3177,                0.82974,                0.80052,                 0.3999,                0.30838,                0.29695,                0.17069,                 1.3026,                0.82597,                0.79489,             0.00030195,             0.00030195,             0.00030195
                     32,                 1.3124,                0.82089,                0.79811,                0.40861,                0.30952,                0.30162,                0.17154,                 1.3012,                0.82449,                0.79808,             0.00028774,             0.00028774,             0.00028774
                     33,                 1.3096,                0.82103,                0.79995,                0.41544,                0.30682,                0.30402,                0.17433,                 1.2979,                0.82474,                0.79731,             0.00027353,             0.00027353,             0.00027353
                     34,                 1.3073,                0.81447,                0.79764,                0.40991,                0.31535,                0.30763,                0.17636,                 1.2922,                0.81684,                0.79579,             0.00025932,             0.00025932,             0.00025932
                     35,                 1.2996,                0.81186,                0.79679,                0.41091,                 0.3136,                0.30674,                0.17616,                 1.2924,                 0.8187,                0.79438,             0.00024512,             0.00024512,             0.00024512
                     36,                 1.3044,                0.81006,                0.79661,                0.40725,                0.31817,                0.30704,                0.17595,                 1.2925,                0.81729,                 0.7948,             0.00023091,             0.00023091,             0.00023091
                     37,                 1.2982,                0.80551,                0.79528,                0.41023,                0.31704,                 0.3104,                0.17775,                 1.2876,                0.81041,                0.79456,              0.0002167,              0.0002167,              0.0002167
                     38,                 1.2906,                0.80059,                0.79453,                0.40272,                0.31441,                0.30965,                 0.1779,                 1.2847,                0.81147,                0.79207,             0.00020249,             0.00020249,             0.00020249
                     39,                 1.2885,                0.79767,                0.79564,                0.42041,                0.31545,                0.31163,                0.17884,                 1.2843,                0.80852,                0.79235,             0.00018828,             0.00018828,             0.00018828
                     40,                 1.2832,                0.79536,                0.79327,                0.42657,                0.31565,                0.31257,                0.17959,                  1.284,                0.81051,                0.79193,             0.00017407,             0.00017407,             0.00017407
                     41,                 1.2663,                 0.7812,                0.79524,                0.41989,                0.31383,                0.30989,                0.17788,                 1.2811,                0.80819,                0.79165,             0.00015986,             0.00015986,             0.00015986
                     42,                 1.2551,                0.76646,                0.79276,                0.42264,                0.31504,                0.31232,                0.17923,                 1.2849,                   0.81,                 0.7928,             0.00014566,             0.00014566,             0.00014566
                     43,                 1.2522,                0.76221,                0.79088,                0.42569,                0.31322,                0.31301,                0.17958,                 1.2875,                0.80859,                0.79306,             0.00013145,             0.00013145,             0.00013145
                     44,                 1.2469,                0.75754,                0.79086,                0.42315,                0.31334,                0.31186,                 0.1791,                 1.2843,                 0.8066,                0.79279,             0.00011724,             0.00011724,             0.00011724
                     45,                  1.246,                0.75433,                0.78954,                 0.4271,                0.31643,                 0.3135,                0.17932,                 1.2825,                0.80611,                0.79185,             0.00010303,             0.00010303,             0.00010303
                     46,                 1.2393,                0.74695,                 0.7895,                0.41638,                0.31953,                0.31446,                 0.1801,                 1.2817,                0.80413,                0.79192,             8.8822e-05,             8.8822e-05,             8.8822e-05
                     47,                 1.2338,                0.74494,                 0.7872,                0.41524,                0.32257,                0.31586,                0.18045,                 1.2807,                0.80182,                0.79161,             7.4613e-05,             7.4613e-05,             7.4613e-05
                     48,                 1.2346,                0.74335,                0.78723,                0.41794,                0.32054,                0.31652,                 0.1815,                 1.2791,                0.80005,                0.79157,             6.0404e-05,             6.0404e-05,             6.0404e-05
                     49,                 1.2329,                0.74032,                0.78731,                0.41921,                 0.3186,                0.31654,                 0.1819,                 1.2766,                0.79982,                0.79129,             4.6196e-05,             4.6196e-05,             4.6196e-05
                     50,                 1.2284,                0.73812,                 0.7861,                0.42333,                0.31852,                0.31702,                0.18144,                 1.2805,                 0.7999,                 0.7918,             3.1987e-05,             3.1987e-05,             3.1987e-05
