                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9708,                 3.3277,                 1.1784,                0.19156,                0.16409,                0.13079,                0.06953,                 1.8089,                 2.1328,                 1.1285,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.7941,                  2.121,                 1.1242,                0.23559,                0.22643,                0.16971,                0.09366,                 1.7305,                 1.9874,                  1.098,               0.000466,               0.000466,               0.000466
                      3,                 1.7638,                 1.9772,                 1.1151,                0.28823,                0.23878,                0.20505,                0.11165,                 1.6949,                 1.8156,                 1.0967,             0.00068516,             0.00068516,             0.00068516
                      4,                 1.7291,                 1.8961,                 1.1075,                0.31325,                0.24551,                0.22569,                0.12477,                 1.6548,                 1.7434,                 1.0836,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.7006,                  1.818,                 1.0998,                0.32624,                 0.2457,                0.22913,                0.12675,                 1.6451,                 1.7162,                 1.0768,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.6884,                 1.7754,                 1.0932,                0.32496,                0.25211,                0.22761,                0.12696,                 1.6605,                 1.6937,                 1.0752,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.6649,                 1.7284,                 1.0892,                0.34337,                0.26762,                0.23933,                0.13178,                 1.6229,                 1.7221,                 1.0829,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.6542,                 1.7054,                 1.0853,                0.33631,                0.26404,                 0.2419,                0.13749,                 1.5917,                 1.6715,                 1.0658,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.6379,                 1.6751,                 1.0809,                0.34573,                0.26827,                0.25115,                0.13825,                 1.5791,                 1.6258,                 1.0634,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.6242,                 1.6452,                 1.0781,                0.32975,                0.28192,                 0.2506,                0.13903,                 1.5698,                 1.6328,                 1.0689,              0.0006009,              0.0006009,              0.0006009
                     11,                  1.621,                 1.6417,                 1.0788,                0.37559,                0.27645,                0.26441,                 0.1449,                 1.5904,                 1.5858,                 1.0731,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.5975,                 1.6053,                 1.0755,                0.35533,                0.28185,                0.26361,                0.14797,                 1.5621,                 1.5749,                 1.0564,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.6027,                 1.6036,                 1.0716,                0.36434,                0.28113,                0.26743,                0.15165,                 1.5614,                 1.5676,                 1.0568,             0.00055849,             0.00055849,             0.00055849
