                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8469,                  2.391,                 1.0388,                0.31317,                0.16521,                0.13154,                0.07022,                 1.6826,                  1.525,                0.98917,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6786,                 1.5231,                0.99028,                0.24224,                0.21757,                0.17087,                0.09453,                 1.6056,                  1.367,                0.96415,             0.00045176,             0.00045176,             0.00045176
                      3,                 1.6482,                 1.4215,                0.98145,                0.29059,                0.24277,                0.20819,                0.11597,                 1.5856,                 1.3332,                0.96372,             0.00064243,             0.00064243,             0.00064243
                      4,                 1.6149,                 1.3576,                0.97502,                0.31026,                0.24505,                0.22112,                0.12415,                 1.5483,                  1.255,                0.95238,             0.00060744,             0.00060744,             0.00060744
                      5,                 1.5883,                 1.3059,                0.96851,                0.31804,                0.25049,                0.22867,                0.12654,                 1.5289,                 1.2183,                0.95022,             0.00060744,             0.00060744,             0.00060744
                      6,                 1.5758,                 1.2754,                0.96229,                0.31107,                0.24104,                0.22075,                0.12373,                 1.5688,                 1.2244,                0.95136,             0.00057191,             0.00057191,             0.00057191
                      7,                 1.5499,                 1.2352,                0.95811,                0.31511,                0.26609,                0.23605,                0.12983,                 1.5247,                 1.2455,                0.95431,             0.00053639,             0.00053639,             0.00053639
                      8,                  1.538,                 1.2168,                0.95399,                0.35232,                0.26849,                 0.2492,                0.14194,                 1.4892,                 1.1722,                0.94063,             0.00050087,             0.00050087,             0.00050087
                      9,                 1.5212,                 1.1909,                 0.9501,                0.32258,                0.27428,                0.25085,                0.13904,                 1.4689,                 1.1544,                0.93735,             0.00046535,             0.00046535,             0.00046535
                     10,                 1.5091,                 1.1733,                0.94735,                 0.3503,                0.27969,                0.25995,                0.14499,                 1.4612,                 1.1389,                0.93633,             0.00042983,             0.00042983,             0.00042983
                     11,                 1.4839,                 1.1615,                0.94757,                0.34624,                0.26826,                0.25315,                0.14384,                 1.4801,                  1.141,                0.93641,             0.00039431,             0.00039431,             0.00039431
                     12,                  1.465,                 1.1281,                0.94555,                0.36391,                 0.2744,                0.25917,                0.14659,                 1.4662,                 1.1269,                0.93586,             0.00035878,             0.00035878,             0.00035878
                     13,                 1.4556,                 1.1149,                0.94107,                0.37002,                0.28041,                0.26602,                0.15017,                 1.4583,                 1.1176,                0.93314,             0.00032326,             0.00032326,             0.00032326
                     14,                 1.4446,                 1.0964,                0.94061,                0.37692,                0.27638,                0.27063,                 0.1524,                  1.438,                 1.1094,                0.93038,             0.00028774,             0.00028774,             0.00028774
                     15,                 1.4338,                 1.0809,                0.93737,                0.37467,                0.28798,                0.27472,                0.15673,                 1.4392,                 1.0957,                0.92853,             0.00025222,             0.00025222,             0.00025222
                     16,                  1.422,                  1.066,                0.93437,                0.39273,                0.29239,                0.28188,                0.16067,                 1.4372,                 1.0806,                0.92757,              0.0002167,              0.0002167,              0.0002167
                     17,                 1.4156,                 1.0537,                0.92999,                0.39483,                0.28466,                0.28325,                0.16136,                 1.4327,                 1.0752,                0.92732,             0.00018118,             0.00018118,             0.00018118
                     18,                 1.4016,                 1.0391,                0.92956,                0.39357,                0.29061,                0.28537,                0.16135,                 1.4332,                 1.0674,                0.92495,             0.00014566,             0.00014566,             0.00014566
                     19,                 1.3995,                 1.0307,                0.92685,                0.40634,                0.28854,                0.28934,                0.16592,                 1.4115,                 1.0573,                0.92234,             0.00011013,             0.00011013,             0.00011013
                     20,                 1.3911,                 1.0221,                0.92587,                0.39615,                0.29771,                0.28912,                0.16597,                 1.4117,                 1.0587,                0.92205,             7.4613e-05,             7.4613e-05,             7.4613e-05
