                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.4931,                 1.3894,                 1.0418,                0.41286,                0.31683,                0.31126,                0.17837,                 1.4753,                 1.4134,                 1.0384,              0.0002167,              0.0002167,              0.0002167
                     38,                 1.4835,                 1.3792,                 1.0405,                0.41153,                 0.3137,                0.31119,                 0.1778,                 1.4771,                 1.4214,                 1.0378,             0.00020249,             0.00020249,             0.00020249
                     39,                 1.4803,                 1.3761,                 1.0415,                0.42642,                0.31162,                0.31088,                0.17792,                 1.4726,                 1.4086,                  1.038,             0.00018828,             0.00018828,             0.00018828
                     40,                 1.4757,                 1.3723,                 1.0387,                0.43197,                0.31583,                0.31319,                0.17952,                 1.4674,                 1.4109,                 1.0356,             0.00017407,             0.00017407,             0.00017407
                     41,                 1.4532,                 1.3466,                 1.0415,                0.43222,                0.31581,                0.31234,                0.17816,                 1.4728,                 1.4128,                 1.0376,             0.00015986,             0.00015986,             0.00015986
                     42,                  1.444,                 1.3203,                  1.039,                0.41749,                0.31984,                0.31146,                0.17789,                 1.4746,                 1.4107,                 1.0389,             0.00014566,             0.00014566,             0.00014566
                     43,                 1.4403,                 1.3137,                 1.0364,                0.42562,                0.31762,                0.31372,                0.17933,                 1.4774,                 1.4065,                 1.0389,             0.00013145,             0.00013145,             0.00013145
                     44,                  1.434,                 1.3066,                 1.0361,                0.43012,                 0.3176,                0.31497,                0.17933,                 1.4744,                  1.405,                 1.0389,             0.00011724,             0.00011724,             0.00011724
                     45,                 1.4324,                 1.2998,                 1.0345,                0.42922,                0.31894,                0.31636,                0.17996,                 1.4735,                 1.4017,                 1.0382,             0.00010303,             0.00010303,             0.00010303
                     46,                 1.4248,                 1.2854,                 1.0337,                0.43066,                0.31932,                0.31592,                0.18011,                 1.4723,                 1.3992,                 1.0383,             8.8822e-05,             8.8822e-05,             8.8822e-05
                     47,                 1.4195,                 1.2817,                 1.0315,                0.43146,                0.32133,                0.31663,                0.17932,                 1.4724,                 1.3989,                 1.0383,             7.4613e-05,             7.4613e-05,             7.4613e-05
                     48,                 1.4211,                 1.2795,                 1.0314,                0.43303,                0.31743,                0.31725,                0.18121,                 1.4662,                  1.393,                 1.0368,             6.0404e-05,             6.0404e-05,             6.0404e-05
                     49,                 1.4187,                 1.2763,                 1.0317,                0.44096,                0.31373,                 0.3174,                0.18087,                 1.4677,                 1.3918,                 1.0369,             4.6196e-05,             4.6196e-05,             4.6196e-05
                     50,                 1.4129,                 1.2703,                 1.0298,                0.43824,                0.31298,                0.31708,                 0.1813,                 1.4665,                 1.3904,                 1.0367,             3.1987e-05,             3.1987e-05,             3.1987e-05
