                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9708,                 3.3277,                 1.1784,                0.19156,                0.16409,                0.13079,                0.06953,                 1.8089,                 2.1328,                 1.1285,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.7936,                 2.1192,                 1.1242,                0.23187,                 0.2213,                0.16919,                0.09309,                 1.7363,                 1.9818,                 1.0984,             0.00046595,             0.00046595,             0.00046595
                      3,                 1.7641,                 1.9755,                 1.1152,                0.30158,                 0.2337,                0.20241,                 0.1102,                 1.7272,                 1.8568,                 1.1042,             0.00068502,             0.00068502,             0.00068502
                      4,                 1.7305,                 1.8985,                 1.1079,                0.31572,                0.24986,                0.22355,                0.12292,                 1.6551,                 1.7378,                  1.082,             0.00067137,             0.00067137,             0.00067137
                      5,                 1.7016,                 1.8183,                    1.1,                 0.3451,                0.24782,                0.23212,                0.12739,                 1.6341,                  1.713,                 1.0763,             0.00067137,             0.00067137,             0.00067137
                      6,                 1.6905,                 1.7771,                 1.0934,                0.30244,                 0.2484,                0.21961,                0.12424,                 1.6668,                 1.7107,                 1.0745,             0.00065717,             0.00065717,             0.00065717
                      7,                 1.6646,                 1.7294,                 1.0894,                0.33457,                0.26571,                0.23831,                 0.1296,                 1.6174,                 1.7319,                 1.0765,             0.00064296,             0.00064296,             0.00064296
                      8,                 1.6541,                 1.7039,                 1.0853,                 0.3256,                0.26951,                0.24388,                0.13714,                 1.6014,                 1.6881,                 1.0713,             0.00062875,             0.00062875,             0.00062875
                      9,                 1.6372,                 1.6743,                 1.0812,                0.34116,                  0.274,                0.25318,                0.13925,                 1.5787,                   1.62,                 1.0654,             0.00061454,             0.00061454,             0.00061454
                     10,                 1.6249,                 1.6467,                 1.0779,                0.32933,                 0.2804,                 0.2505,                   0.14,                  1.578,                 1.6216,                 1.0657,             0.00060033,             0.00060033,             0.00060033
                     11,                 1.6215,                 1.6415,                  1.079,                0.36754,                0.26999,                0.26404,                0.14639,                 1.5754,                 1.5883,                 1.0691,             0.00058612,             0.00058612,             0.00058612
                     12,                 1.5967,                 1.6073,                 1.0754,                 0.3566,                0.27865,                0.25989,                0.14414,                 1.5792,                 1.5958,                 1.0606,             0.00057191,             0.00057191,             0.00057191
                     13,                 1.6039,                 1.6059,                  1.072,                0.36673,                0.28033,                0.26899,                0.15196,                 1.5478,                 1.5564,                 1.0582,             0.00055771,             0.00055771,             0.00055771
                     14,                 1.5982,                 1.5876,                 1.0703,                 0.3675,                 0.2717,                0.26692,                0.14849,                 1.5673,                 1.5767,                 1.0575,              0.0005435,              0.0005435,              0.0005435
                     15,                 1.5881,                 1.5718,                 1.0689,                0.37557,                0.29118,                0.28051,                0.15897,                 1.5418,                 1.5294,                 1.0494,             0.00052929,             0.00052929,             0.00052929
                     16,                 1.5772,                 1.5613,                 1.0672,                0.38396,                0.28947,                0.27828,                0.15952,                 1.5254,                 1.5216,                  1.052,             0.00051508,             0.00051508,             0.00051508
                     17,                 1.5774,                 1.5499,                 1.0663,                0.38331,                0.28444,                0.28472,                0.16033,                 1.5327,                 1.5157,                 1.0508,             0.00050087,             0.00050087,             0.00050087
                     18,                  1.575,                 1.5399,                 1.0627,                 0.3777,                  0.291,                0.28164,                0.15976,                 1.5412,                 1.5204,                 1.0535,             0.00048666,             0.00048666,             0.00048666
                     19,                 1.5637,                 1.5197,                 1.0608,                0.38685,                0.29655,                0.28835,                0.16262,                 1.5289,                 1.4986,                 1.0496,             0.00047245,             0.00047245,             0.00047245
                     20,                 1.5518,                 1.5041,                 1.0609,                0.37866,                0.30389,                0.29011,                0.16441,                 1.5171,                 1.4829,                 1.0494,             0.00045825,             0.00045825,             0.00045825
                     21,                 1.5526,                 1.5047,                 1.0591,                0.39122,                0.30134,                0.28771,                0.16435,                 1.5135,                 1.5049,                  1.047,             0.00044404,             0.00044404,             0.00044404
                     22,                   1.55,                 1.4997,                 1.0582,                0.39668,                0.30115,                0.29046,                0.16518,                 1.5093,                 1.4861,                 1.0502,             0.00042983,             0.00042983,             0.00042983
                     23,                  1.537,                 1.4838,                 1.0549,                0.38648,                0.29847,                0.28904,                0.16555,                 1.5192,                 1.4806,                 1.0467,             0.00041562,             0.00041562,             0.00041562
                     24,                 1.5365,                 1.4778,                 1.0542,                0.38409,                 0.3048,                0.29373,                0.16759,                 1.5037,                 1.4755,                 1.0477,             0.00040141,             0.00040141,             0.00040141
                     25,                 1.5305,                 1.4644,                 1.0535,                0.41864,                0.30209,                0.29815,                 0.1707,                 1.4997,                 1.4686,                 1.0449,              0.0003872,              0.0003872,              0.0003872
                     26,                 1.5338,                 1.4634,                 1.0543,                0.40882,                0.30233,                0.29824,                 0.1696,                 1.5024,                 1.4642,                 1.0447,             0.00037299,             0.00037299,             0.00037299
                     27,                 1.5202,                 1.4535,                 1.0514,                 0.4048,                0.30877,                0.30374,                0.17305,                 1.4958,                 1.4493,                 1.0439,             0.00035878,             0.00035878,             0.00035878
                     28,                 1.5217,                 1.4469,                 1.0507,                 0.4029,                0.30577,                0.29778,                0.16906,                 1.5015,                 1.4627,                 1.0471,             0.00034458,             0.00034458,             0.00034458
                     29,                 1.5159,                 1.4406,                 1.0509,                0.40512,                0.30733,                0.30306,                0.17191,                 1.4886,                 1.4532,                 1.0421,             0.00033037,             0.00033037,             0.00033037
                     30,                  1.513,                 1.4292,                 1.0475,                0.41265,                0.30769,                0.30204,                0.17246,                 1.4848,                 1.4397,                 1.0407,             0.00031616,             0.00031616,             0.00031616
                     31,                  1.513,                 1.4313,                 1.0479,                0.39883,                0.30734,                0.29986,                0.17108,                 1.4921,                 1.4408,                 1.0419,             0.00030195,             0.00030195,             0.00030195
                     32,                 1.5076,                 1.4178,                  1.045,                0.40796,                0.30993,                 0.3064,                 0.1749,                  1.487,                 1.4413,                 1.0411,             0.00028774,             0.00028774,             0.00028774
                     33,                 1.5052,                 1.4166,                 1.0475,                0.41458,                0.31366,                0.30923,                0.17752,                 1.4846,                 1.4324,                 1.0416,             0.00027353,             0.00027353,             0.00027353
                     34,                 1.5005,                 1.4025,                 1.0443,                0.40506,                0.31925,                 0.3078,                0.17498,                 1.4828,                 1.4235,                 1.0411,             0.00025932,             0.00025932,             0.00025932
                     35,                 1.4935,                    1.4,                 1.0433,                0.42453,                0.31044,                0.31003,                0.17768,                 1.4828,                 1.4205,                 1.0399,             0.00024512,             0.00024512,             0.00024512
                     36,                 1.4985,                 1.3968,                 1.0432,                0.40869,                0.31939,                0.30919,                0.17635,                 1.4821,                 1.4233,                   1.04,             0.00023091,             0.00023091,             0.00023091
