                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9708,                 3.3277,                 1.1784,                0.19156,                0.16409,                0.13079,                0.06953,                 1.8089,                 2.1328,                 1.1285,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.7932,                 2.1188,                 1.1238,                 0.2348,                 0.2197,                0.16784,                 0.0928,                 1.7286,                 1.9433,                 1.0923,             0.00045176,             0.00045176,             0.00045176
                      3,                 1.7618,                 1.9787,                 1.1144,                0.29153,                 0.2282,                0.20083,                0.11062,                 1.7157,                 1.8867,                  1.096,             0.00064243,             0.00064243,             0.00064243
                      4,                 1.7243,                 1.8904,                 1.1066,                0.30846,                 0.2471,                0.22559,                0.12527,                 1.6497,                  1.738,                  1.083,             0.00060744,             0.00060744,             0.00060744
                      5,                 1.6977,                 1.8128,                  1.099,                0.34169,                0.24404,                0.23405,                0.12824,                 1.6417,                  1.716,                 1.0796,             0.00060744,             0.00060744,             0.00060744
                      6,                 1.6837,                 1.7703,                 1.0917,                 0.3092,                0.25096,                0.22577,                0.12699,                 1.6502,                 1.6773,                  1.071,             0.00057191,             0.00057191,             0.00057191
                      7,                 1.6573,                 1.7185,                 1.0877,                 0.3453,                0.26719,                0.24108,                0.13091,                 1.6209,                 1.6884,                 1.0765,             0.00053639,             0.00053639,             0.00053639
                      8,                 1.6436,                 1.6909,                 1.0825,                0.34541,                0.26776,                 0.2506,                0.14088,                 1.5855,                 1.6476,                 1.0626,             0.00050087,             0.00050087,             0.00050087
                      9,                  1.627,                 1.6598,                 1.0783,                0.34734,                0.27125,                0.25393,                0.14088,                 1.5711,                 1.6093,                 1.0612,             0.00046535,             0.00046535,             0.00046535
                     10,                 1.6111,                 1.6292,                 1.0743,                0.33842,                0.27362,                0.25365,                0.14107,                 1.5705,                 1.6114,                 1.0625,             0.00042983,             0.00042983,             0.00042983
                     11,                 1.5862,                 1.6171,                 1.0755,                0.35503,                0.26821,                0.25273,                0.14259,                 1.5724,                 1.5855,                 1.0612,             0.00039431,             0.00039431,             0.00039431
                     12,                 1.5676,                 1.5698,                 1.0732,                0.37008,                0.27509,                0.26334,                0.14794,                 1.5733,                  1.568,                 1.0616,             0.00035878,             0.00035878,             0.00035878
                     13,                 1.5548,                 1.5509,                 1.0674,                0.38123,                0.28282,                0.27281,                0.15331,                  1.559,                 1.5527,                 1.0587,             0.00032326,             0.00032326,             0.00032326
                     14,                 1.5469,                  1.524,                 1.0673,                0.37343,                0.28345,                0.27466,                0.15519,                 1.5374,                 1.5408,                 1.0562,             0.00028774,             0.00028774,             0.00028774
                     15,                 1.5341,                 1.5001,                 1.0637,                0.38806,                0.28271,                0.27684,                0.15748,                 1.5419,                  1.532,                 1.0506,             0.00025222,             0.00025222,             0.00025222
                     16,                 1.5212,                 1.4795,                 1.0598,                0.39718,                0.29122,                0.28367,                0.16075,                 1.5366,                 1.5139,                 1.0506,              0.0002167,              0.0002167,              0.0002167
                     17,                 1.5151,                 1.4643,                 1.0553,                0.40166,                0.28723,                0.28578,                0.16275,                 1.5279,                 1.4991,                 1.0497,             0.00018118,             0.00018118,             0.00018118
                     18,                 1.4999,                 1.4434,                 1.0549,                 0.4011,                0.29274,                0.28989,                0.16335,                  1.522,                 1.4886,                 1.0456,             0.00014566,             0.00014566,             0.00014566
                     19,                 1.4976,                 1.4294,                 1.0517,                0.39712,                0.30022,                0.29355,                0.16736,                 1.5134,                 1.4781,                 1.0466,             0.00011013,             0.00011013,             0.00011013
                     20,                   1.49,                 1.4198,                 1.0503,                0.40973,                0.29425,                0.29297,                0.16688,                 1.5095,                 1.4797,                 1.0452,             7.4613e-05,             7.4613e-05,             7.4613e-05
